"zip","population","city","county"
"61846",4666,"Georgetown","Vermilion County"
"61911",4647,"Arthur","Moultrie County"
"61739",4635,"Fairbury","Livingston County"
"62033",4628,"Gillespie","Macoupin County"
"61568",4606,"Tremont","Tazewell County"
"61880",4570,"Tolono","Champaign County"
"60165",4566,"Stone Park","Cook County"
"60203",4540,"Evanston","Cook County"
"60552",4538,"Somonauk","DeKalb County"
"61755",4530,"Mackinaw","Tazewell County"
"62285",4512,"Smithton","St. Clair County"
"61745",4507,"Heyworth","McLean County"
"61348",4501,"Oglesby","LaSalle County"
"61025",4465,"East Dubuque","Jo Daviess County"
"61752",4461,"Le Roy","McLean County"
"62265",4418,"New Baden","Clinton County"
"61883",4412,"Westville","Vermilion County"
"61275",4393,"Port Byron","Rock Island County"
"62293",4392,"Trenton","Clinton County"
"62902",4344,"Carbondale","Williamson County"
"60456",4299,"Hometown","Cook County"
"60936",4230,"Gibson City","Ford County"
"61738",4186,"El Paso","Woodford County"
"62466",4171,"Sumner","Lawrence County"
"61063",4144,"Pecatonica","Winnebago County"
"61074",4093,"Savanna","Carroll County"
"62420",4082,"Casey","Clark County"
"61448",4076,"Knoxville","Knox County"
"62239",4076,"Dupo","St. Clair County"
"62411",4070,"Altamont","Effingham County"
"60151",3944,"Maple Park","Kane County"
"60071",3938,"Richmond","McHenry County"
"62467",3929,"Teutopolis","Effingham County"
"61064",3898,"Polo","Ogle County"
"62613",3857,"Athens","Menard County"
"62535",3856,"Forsyth","Macon County"
"61048",3851,"Lena","Stephenson County"
"60421",3850,"Elwood","Will County"
"61559",3845,"Princeville","Peoria County"
"61547",3835,"Mapleton","Peoria County"
"62690",3830,"Virden","Macoupin County"
"61546",3791,"Manito","Tazewell County"
"62014",3749,"Bunker Hill","Macoupin County"
"61410",3730,"Abingdon","Knox County"
"62321",3717,"Carthage","Hancock County"
"61054",3633,"Mount Morris","Ogle County"
"61310",3556,"Amboy","Lee County"
"62060",3534,"Madison","Madison County"
"62016",3519,"Carrollton","Greene County"
"60518",3514,"Earlville","LaSalle County"
"60606",3513,"Chicago","Cook County"
"62558",3489,"Pawnee","Sangamon County"
"62341",3453,"Hamilton","Hancock County"
"60541",3447,"Newark","Kendall County"
"61528",3435,"Edwards","Peoria County"
"61542",3407,"Lewistown","Fulton County"
"60940",3399,"Grant Park","Kankakee County"
"61360",3379,"Seneca","LaSalle County"
"62858",3343,"Louisville","Clay County"
"62806",3316,"Albion","Edwards County"
"61753",3279,"Lexington","McLean County"
"62640",3273,"Girard","Macoupin County"
"61019",3256,"Davis","Stephenson County"
"62264",3237,"New Athens","St. Clair County"
"62069",3230,"Mount Olive","Macoupin County"
"60301",3207,"Oak Park","Cook County"
"61536",3207,"Hanna City","Peoria County"
"61517",3196,"Brimfield","Peoria County"
"61273",3175,"Orion","Henry County"
"62447",3172,"Neoga","Cumberland County"
"61020",3170,"Davis Junction","Ogle County"
"62075",3168,"Nokomis","Montgomery County"
"61531",3144,"Farmington","Fulton County"
"61084",3118,"Stillman Valley","Ogle County"
"62952",3050,"Jonesboro","Union County"
"61422",3042,"Bushnell","McDonough County"
"62920",3017,"Cobden","Union County"
"62275",3004,"Pocahontas","Bond County"
"61434",2986,"Galva","Henry County"
"61238",2985,"Cambridge","Henry County"
"62216",2980,"Aviston","Clinton County"
"61277",2978,"Prophetstown","Whiteside County"
"62449",2957,"Oblong","Crawford County"
"62018",2954,"Cottage Hills","Madison County"
"62664",2945,"Mason City","Mason County"
"61956",2931,"Villa Grove","Douglas County"
"60520",2927,"Hinckley","DeKalb County"
